ID,Name_KR,Name_EN,Category,Sub_Category,Desc_KR,Desc_EN,Atlas_Name,Atk_Power,Stamina_Restore,Part_Type,Update_Cycle,Associated_Ability,Job_Unlock_ID
raw_min_rock,돌,Rock,Raw,Mineral,,,material.png,,,,,,
raw_min_coal,석탄,Coal,Raw,Mineral,,,material.png,,,,,,
raw_min_tin,주석 광석,Tin Ore,Raw,Mineral,,,material.png,,,,,,
raw_min_iron,철 광석,Iron Ore,Raw,Mineral,,,material.png,,,,,,
raw_min_copper,구리 광석,Copper Ore,Raw,Mineral,,,material.png,,,,,,
raw_min_silver,은 광석,Silver Ore,Raw,Mineral,,,material.png,,,,,,
raw_min_gold,금 광석,Gold Ore,Raw,Mineral,,,material.png,,,,,,
proc_ing_tin,주괴,Refined Ingot,Processed,Ingot,,,material.png,,,,,,
proc_ing_iron,철 주괴,Refined Iron Ingot,Processed,Ingot,,,material.png,,,,,,
proc_ing_copper,구리 주괴,Refined Copper Ingot,Processed,Ingot,,,material.png,,,,,,
proc_ing_silver,은 주괴,Refined Silver Ingot,Processed,Ingot,,,material.png,,,,,,
proc_ing_gold,금 주괴,Refined Gold Ingot,Processed,Ingot,,,material.png,,,,,,
raw_gem_amethyst,자수정 원석,Amethyst Gem,Raw,Gem,,,material.png,,,,,,
raw_gem_diamond,다이아몬드 원석,Diamond Gem,Raw,Gem,,,material.png,,,,,,
raw_gem_emerald,에메랄드 원석,Emerald Gem,Raw,Gem,,,material.png,,,,,,
raw_gem_ruby,루비 원석,Ruby Gem,Raw,Gem,,,material.png,,,,,,
raw_gem_topaz,토파즈 원석,Topaz Gem,Raw,Gem,,,material.png,,,,,,
proc_ref_amethyst,정제된 자수정,Refined Amethyst,Processed,Refined,,,material.png,,,,,,
proc_ref_diamond,정제된 다이아몬드,Refined Diamond,Processed,Refined,,,material.png,,,,,,
proc_ref_emerald,정제된 에메랄드,Refined Emerald,Processed,Refined,,,material.png,,,,,,
proc_ref_ruby,정제된 루비,Refined Ruby,Processed,Refined,,,material.png,,,,,,
proc_ref_topaz,정제된 토파즈,Refined Topaz,Processed,Refined,,,material.png,,,,,,
raw_log_oak,참나무 통나무,Oak Log,Raw,Log,,,material.png,,,,,,
raw_log_hickory,히코리 통나무,Hickory Log,Raw,Log,,,material.png,,,,,,
raw_log_pine,소나무 통나무,Pine Log,Raw,Log,,,material.png,,,,,,
raw_log_willow,버드나무 통나무,Willow Log,Raw,Log,,,material.png,,,,,,
raw_log_birch,자작나무 통나무,Birch Log,Raw,Log,,,material.png,,,,,,
proc_tim_oak,참나무 목재,Oak Timber,Processed,Timber,,,material.png,,,,,,
proc_tim_hickory,히코리 목재,Hickory Timber,Processed,Timber,,,material.png,,,,,,
proc_tim_pine,소나무 목재,Pine Timber,Processed,Timber,,,material.png,,,,,,
proc_tim_willow,버드나무 목재,Willow Timber,Processed,Timber,,,material.png,,,,,,
proc_tim_birch,자작나무 목재,Birch Timber,Processed,Timber,,,material.png,,,,,,
raw_fib_linen,아마 섬유,Linen,Raw,Fibre,,,material.png,,,,,,
raw_fib_cotton,목화 섬유,Cotton,Raw,Fibre,,,material.png,,,,,,
raw_fib_hemp,삼베 섬유,Hemp,Raw,Fibre,,,material.png,,,,,,
raw_fib_ramie,모시 섬유,Ramie,Raw,Fibre,,,material.png,,,,,,
raw_fib_agave,용설란 섬유,Agave,Raw,Fibre,,,material.png,,,,,,
proc_thr_linen,아마 실,Linen Thread,Processed,Thread,,,material.png,,,,,,
proc_thr_cotton,목화 실,Cotton Thread,Processed,Thread,,,material.png,,,,,,
proc_thr_hemp,삼베 실,Hemp Thread,Processed,Thread,,,material.png,,,,,,
proc_thr_ramie,모시 실,Ramie Thread,Processed,Thread,,,material.png,,,,,,
proc_thr_agave,용설란 실,Agave Thread,Processed,Thread,,,material.png,,,,,,
raw_herb_mandrake,만드레이크,Mandrake,Raw,Herb,,,material.png,,,,,,
raw_herb_mushroom,버섯,Mushroom,Raw,Herb,,,material.png,,,,,,
raw_herb_henbane,사리풀,Henbane,Raw,Herb,,,material.png,,,,,,
raw_herb_belladonna,벨라돈나,Belladonna,Raw,Herb,,,material.png,,,,,,
raw_herb_poppy,양귀비,Poppy,Raw,Herb,,,material.png,,,,,,
proc_pow_mandrake,만드레이크 가루,Mandrake Powder,Processed,Powder,,,material.png,,,,,,
proc_pow_mushroom,버섯 가루,Mushroom Powder,Processed,Powder,,,material.png,,,,,,
proc_pow_henbane,사리풀 가루,Henbane Powder,Processed,Powder,,,material.png,,,,,,
proc_pow_belladonna,벨라돈나 가루,Belladonna Powder,Processed,Powder,,,material.png,,,,,,
proc_pow_poppy,양귀비 가루,Poppy Powder,Processed,Powder,,,material.png,,,,,,
raw_fd_mdeer,숫사슴 고기,Male Deer Meat,Raw,Meat,,,food.png,,,,,,
raw_fd_fdeer,암사슴 고기,Female Deer Meat,Raw,Meat,,,food.png,,,,,,
raw_fd_boar,멧돼지 고기,Wild Boar Meat,Raw,Meat,,,food.png,,,,,,
raw_fd_turkey,칠면조 고기,Turkey Meat,Raw,Meat,,,food.png,,,,,,
raw_fd_rabbit,토끼 고기,Rabbit Meat,Raw,Meat,,,food.png,,,,,,
raw_fd_wolf,늑대 고기,Wolf Meat,Raw,Meat,,,food.png,,,,,,
raw_fd_egg_turkey,칠면조 알,Turkey Egg,Raw,Egg,,,food.png,,,,,,
raw_skin_mdeer,숫사슴 가죽,Male Deer Skin,Raw,Skin,,,material.png,,,,,,
raw_skin_fdeer,암사슴 가죽,Female Deer Skin,Raw,Skin,,,material.png,,,,,,
